month,count
2014-01-01,44
2014-02-01,44
2014-03-01,45
2014-04-01,46
2014-05-01,50
2014-06-01,51
2014-07-01,48
2014-08-01,40
2014-09-01,35
2014-10-01,37
2014-11-01,38
2014-12-01,27
2015-01-01,29
2015-02-01,28
2015-03-01,29
2015-04-01,31
2015-05-01,34
2015-06-01,32
2015-07-01,30
2015-08-01,35
2015-09-01,34
2015-10-01,31
2015-11-01,28
2015-12-01,22
2016-01-01,18
2016-02-01,14
2016-03-01,19
2016-04-01,21
2016-05-01,30
2016-06-01,30
2016-07-01,28
2016-08-01,27
2016-09-01,28
2016-10-01,27
2016-11-01,28
2016-12-01,21
2017-01-01,22
2017-02-01,28
2017-03-01,32
2017-04-01,30
2017-05-01,26
2017-06-01,27
2017-07-01,33
2017-08-01,27
2017-09-01,21
2017-10-01,24
2017-11-01,18
2017-12-01,19
2018-01-01,20
2018-02-01,24
2018-03-01,22
2018-04-01,24
2018-05-01,27
2018-06-01,32
2018-07-01,34
2018-08-01,32
2018-09-01,30
2018-10-01,20
2018-11-01,20
2018-12-01,15
2019-01-01,16
2019-02-01,14
2019-03-01,23
2019-04-01,23
2019-05-01,21
2019-06-01,29
2019-07-01,28
2019-08-01,22
2019-09-01,21
2019-10-01,19
2019-11-01,18
2019-12-01,13
2020-01-01,14
2020-02-01,22
2020-03-01,28
2020-04-01,27
2020-05-01,22
2020-06-01,21
2020-07-01,29
2020-08-01,21
2020-09-01,21
2020-10-01,23
2020-11-01,18
2020-12-01,17
2021-01-01,12
2021-02-01,11
2021-03-01,20
2021-04-01,15
2021-05-01,16
2021-06-01,16
2021-07-01,13
2021-08-01,14
2021-09-01,8
2021-10-01,11
2021-11-01,10
2021-12-01,9
2022-01-01,9
2022-02-01,20
2022-03-01,22
2022-04-01,22
2022-05-01,26
2022-06-01,28
2022-07-01,35
2022-08-01,35
2022-09-01,34
2022-10-01,30
2022-11-01,25
2022-12-01,17
2023-01-01,16
2023-02-01,17
2023-03-01,14
2023-04-01,16
2023-05-01,22
2023-06-01,25
2023-07-01,26
2023-08-01,24
2023-09-01,31
2023-10-01,30
2023-11-01,30
2023-12-01,24
2024-01-01,20
2024-02-01,29
2024-03-01,35
2024-04-01,39
2024-05-01,41
2024-06-01,47
2024-07-01,47
2024-08-01,45
2024-09-01,49
2024-10-01,47
2024-11-01,41
2024-12-01,35
